Description
"SHEET, AL ALY, .125"" THK, 5052 H32"
"PLATE, AL ALY, .188"" THK, 5052 H32 >80"""
"PLATE, AL ALY, .188"" THK, 5052 H32"
"PLATE, AL ALY, .188"" THK, 5052 H32 <80"""
"PLATE, AL ALY, .188"" THK, 5052 H32 GENERAL"
"PLATE, AL ALY, .25"" THK, 5052 H32"
"PLATE, AL ALY, .375"" THK, 5052 H32"
"PLATE, AL ALY, .5"" THK, 5052 H32"
"PLATE, AL ALY, 0.188 in THK, 5052"
"PLATE, AL ALY, 0.250 in THK, 5052"
"SHEET, AL ALY, 0.125 in THK, 5052"
"SHEET, AL ALY, 0.188 in THK, 5052"
"SHEET, AL ALY, .125"" THK, 3003 H22 APT FTQ"
